split,group,n,mae_lux,mape_pct,median_pct_bias,pearson_r,fit_slope,fit_intercept,fit_r2,ba_bias_lux,ba_sd_lux,ba_loa_low,ba_loa_high
overall,all,210,379.9,16.35,-14.96,0.9964,1.1054,134.4,0.9928,-362.2,488.7,-1320.2,595.7
sky,overcast,69,279.7,14.43,-13.4,0.9894,1.0824,82.2,0.979,-243.5,326.6,-883.7,396.6
sky,partly_cloudy,30,612.8,19.05,-18.01,0.9889,1.1941,88.6,0.9779,-605.6,439.6,-1467.2,256.0
sky,rainy,57,134.8,16.04,-9.42,0.9827,1.1148,45.0,0.9656,-127.7,219.5,-558.0,302.6
sky,sunny,54,637.2,17.64,-16.46,0.9983,1.0939,282.2,0.9965,-626.2,682.9,-1964.8,712.3
lux_band,500-2000,65,221.0,18.34,-18.1,0.8851,0.9434,250.3,0.7834,-195.3,204.7,-596.5,206.0
lux_band,<500,51,30.6,14.81,-9.4,0.979,1.1339,1.4,0.9584,-28.8,31.2,-90.0,32.4
lux_band,>=2000,94,679.3,15.81,-14.98,0.9962,1.0886,300.1,0.9925,-658.6,581.6,-1798.5,481.3
distance_cm,100,70,340.5,15.59,-14.96,0.9965,1.1106,108.6,0.9931,-325.7,422.0,-1152.8,501.5
distance_cm,150,70,208.6,16.67,-14.97,0.9888,1.124,65.6,0.9777,-199.5,220.4,-631.5,232.4
distance_cm,50,70,590.7,16.8,-14.53,0.9964,1.0968,228.3,0.9929,-561.5,654.5,-1844.3,721.3
reading_count,3,15,512.5,17.61,-15.43,0.9889,1.119,217.2,0.978,-512.5,335.5,-1170.1,145.0
reading_count,4,19,233.8,15.09,-12.73,0.9854,1.0356,134.7,0.9709,-194.1,280.4,-743.6,355.4
reading_count,5,176,384.4,16.38,-14.94,0.9968,1.1057,136.3,0.9936,-367.6,513.0,-1373.0,637.9
