session,window,date,time,sky,meter_avg_50cm,meter_avg_100cm,meter_avg_150cm,ratio_50_to_100,ratio_50_to_150,phone_avg_50cm,phone_avg_100cm,phone_avg_150cm
1,W001,2026-04-15 00:00:00,12:18:00,partly_cloudy,5431,3437.7,2383.3,1.58,2.28,4985.7,2909,1822
2,W001,2026-04-16 00:00:00,18:09:00,partly_cloudy,3056.3,2404.3,1423.3,1.27,2.15,2305,1759.7,1111
3,W003,2026-04-17 00:00:00,18:05:00,partly_cloudy,4756.7,2864.7,1258.7,1.66,3.78,3384.3,2506.7,1036.7
4,W005,2026-04-18 00:00:00,12:23:00,partly_cloudy,7218,4360,2815,1.66,2.56,6362.6,3712.6,2488.6
5,W006,2026-04-18 00:00:00,13:00:00,overcast,2364.3,959.7,462,2.46,5.12,1796.8,892.8,373.4
6,W004,2026-04-19 00:00:00,09:15:00,sunny,42930,25796,6274.6,1.66,6.84,39224.8,23354.2,5903.6
7,W006,2026-04-19 00:00:00,09:34:00,sunny,4119.8,1003.8,615.4,4.1,6.69,3323.2,832.6,498
8,W005,2026-04-19 00:00:00,09:48:00,partly_cloudy,6434.8,4096.6,2780.6,1.57,2.31,5369.8,3453,2283
9,W006,2026-04-19 00:00:00,,overcast,4562.8,1358.4,837.6,3.36,5.45,4110.4,1046,721.4
10,W004,2026-04-19 00:00:00,,overcast,10220.4,6293.6,3772.4,1.62,2.71,8962,5653.8,3213.4
11,W004,2026-04-19 00:00:00,,overcast,4402.2,2798.8,1508.6,1.57,2.92,3726,2308,1232.8
12,W006,2026-04-19 00:00:00,,overcast,1384.2,447.2,263.2,3.1,5.26,961.8,338.4,218.8
13,W005,2026-04-20 00:00:00,,partly_cloudy,6158.4,4501.2,3238.6,1.37,1.9,4940.8,3596,2786.4
14,W006,2026-04-20 00:00:00,,partly_cloudy,5768.8,2274.6,781,2.54,7.39,4793.8,1537.2,639.4
15,W004,2026-04-20 00:00:00,,overcast,337.6,240,154,1.41,2.19,323.2,194.4,129
16,W004,2026-04-21 18:28:00,,partly_cloudy,1353.2,859,572.6,1.58,2.36,1037.8,710.2,466.2
17,W005,2026-04-22 09:07:00,,sunny,3371.8,2319,1654.8,1.45,2.04,2229.4,1528,1113.6
18,W007,2026-04-22 17:59:00,,overcast,442.2,161.8,109.6,2.73,4.03,313,136.2,102
19,W008,,,sunny,1502.8,867.8,570.4,1.73,2.63,914.4,598.2,404.2
20,W005,,,sunny,6005,3862.4,2440,1.55,2.46,4804.8,2942.4,1707.6
21,W006,,,sunny,5475.4,2190,1173.4,2.5,4.67,3612.4,1583.8,899.8
22,W004,,,sunny,8884.8,5506.2,3618.4,1.61,2.46,7667,4502.4,2899.6
23,W008,,,sunny,4952.8,3191.6,2105.4,1.55,2.35,3785.4,2687.2,1933
24,W005,,,sunny,6424.4,4495.4,2487.6,1.43,2.58,6487.4,3782.6,2238.8
25,W009,,,sunny,6101.8,3265.6,1978,1.87,3.08,5441.2,3068.6,1620
26,W006,,,sunny,5388.8,3532.8,2212.4,1.53,2.44,4676,3210.4,1912.8
27,W006,,,sunny,1736.4,963.2,486.2,1.8,3.57,1298,839,486.8
28,W005,,,sunny,2642.4,1649.6,1111.8,1.6,2.38,2392,1448.8,1019.6
29,W011,,,sunny,720.6,459.5,265.2,1.57,2.72,552.4,403.8,223.6
30,W007,,,sunny,3577.8,1988.8,1232.2,1.8,2.9,3660.8,2139.2,1110
31,W011,,,sunny,3657.2,2185.6,1374.6,1.67,2.66,3178.6,1884.6,1194.6
32,W004,,,sunny,10211,4873.2,3316.2,2.1,3.08,8282.4,3683.2,2599.2
33,W011,,,sunny,7599.4,3482.6,1844.6,2.18,4.12,6195.6,2590.6,1309.2
34,W001,,,partly_cloudy,7375.4,4491,2533.8,1.64,2.91,5561.8,3201.4,1852.8
35,W007,,,partly_cloudy,1714.8,1084,660.6,1.58,2.6,1641.6,1192.6,472.2
36,W012,,,overcast,2041.6,538.2,234.2,3.79,8.72,1882.4,398.2,203
37,W003,,,overcast,4235.6,1998,1147,2.12,3.69,4023.2,1606.2,1114.6
38,W013,,,overcast,702.8,429.4,289,1.64,2.43,574.8,352.2,237.8
39,W011,,,overcast,1415.6,816.6,475.8,1.73,2.98,1049.2,693.4,388.8
40,W008,,,rainy,628.4,351.2,206.2,1.79,3.05,498.6,289.8,150.6
41,W004,,,rainy,507.5,287.6,184,1.76,2.76,407.4,235.8,155.6
42,W005,,,rainy,162,87.5,54.2,1.85,2.99,107.8,57.2,50.4
43,W009,,,overcast,2438.8,1000.6,545,2.44,4.47,2669.6,968.6,486.8
44,W005,,,rainy,2510.4,1492.4,1125.8,1.68,2.23,1904.2,1305,972.4
45,W011,,,rainy,2761.8,1709.2,803,1.62,3.44,2005.6,1346,748
46,W004,,,rainy,267.8,184.2,111.4,1.45,2.4,274.2,171.8,103.6
47,W011,,,rainy,385.4,238.4,188.6,1.62,2.04,373,202.2,136
48,W008,,,rainy,322.2,200.8,114,1.6,2.83,288.8,191.8,109.8
49,W011,,,overcast,4626.6,3249.8,2110.2,1.42,2.19,4657.4,3247.8,1827.4
50,W005,,,overcast,5040.5,3256,2087.2,1.55,2.41,4606.6,2953.6,1771.6
51,W014,,,overcast,1578.4,529.2,338.4,2.98,4.66,1441.6,468.4,306.6
52,W006,,,overcast,3198.8,1371,851.6,2.33,3.76,2702,1236.4,666.8
53,W005,,,overcast,7437,4772.8,3222.4,1.56,2.31,6446.6,4371.4,2982.4
54,W007,,,overcast,1891,945,605.6,2.0,3.12,2296,802.6,525.2
55,W011,,,overcast,5384.2,3179.8,1936.6,1.69,2.78,4245.6,2973.4,1384
56,W004,,,overcast,4866.2,3178.5,2723,1.53,1.79,4776,3312.4,2938.2
57,W007,,,overcast,1431.5,684.8,333.6,2.09,4.29,924.4,714.8,310.8
58,W015,,,overcast,3811,2744.2,2119.6,1.39,1.8,2669.2,1818.6,1420.2
59,W011,,,overcast,5832.6,3105,2048.4,1.88,2.85,5956,3183.8,1734.6
60,W004,,,rainy,4409.5,2867.8,1248.6,1.54,3.53,4425,2614.2,975
61,W005,,,rainy,2909.4,2019.8,1301.2,1.44,2.24,2669.6,1598.8,1398.2
62,W016,,,rainy,1129.2,328.8,201,3.43,5.62,1170.4,316.6,189.2
63,W011,,,rainy,3337.6,1401,1115.8,2.38,2.99,2606.8,1269,998.4
64,W008,,,rainy,3449.2,1892.2,832,1.82,4.15,3010,1473.2,632
65,W009,,,rainy,841.8,246,162.8,3.42,5.17,568.6,252.4,158.8
66,W017,,,rainy,32.2,9.2,4.4,3.5,7.32,30.6,13,9
67,W005,,,rainy,152,88.4,59,1.72,2.58,137,85.8,48.8
68,W006,,,rainy,146,63.2,34.4,2.31,4.24,162.6,69.6,35.2
69,W011,,,rainy,1425.8,281.6,204.4,5.06,6.98,421,255.6,189.8
70,W008,,,rainy,637.2,398.8,213.4,1.6,2.99,642.4,340,197
