obs_id,window,distance_cm,file,match_score,ambiguous,n_samples,n_segments,coverage,manual_readings,plateau_readings,manual_avg,plateau_avg,manual_vs_plateau_pct
O0011,W005,100,18-4\phone light reading 18-4\A Done\Light (1).xls,4/5,False,790,2,0.88,3732;3780;3777;3590;3684,3732;3370,3712.6,3551.2,4.5
O0022,W005,50,19-4\Excel\A4 104 0900\Light (17).xls,5/5,False,765,1,0.95,5390;5395;5380;5346;5338,5306,5369.8,5306.5,1.2
O0023,W005,100,19-4\Excel\A4 104 0900\Light (18).xls,5/5,False,253,1,0.82,3403;3451;3498;3474;3439,3403,3453,3403.0,1.5
O0027,W006,150,19-4\Excel\A4 104 1200\Light (22).xls,5/5,False,193,1,0.79,710;722;740;716;719,722,721.4,722.0,-0.1
O0028,W004,50,19-4\Excel\A5 105 1200\Light (23).xls,5/5,False,686,2,0.94,8977;9018;8942;8937;8936,6938;8892,8962,7915.0,13.2
O0029,W004,100,19-4\Excel\A5 105 1200\Light (24).xls,5/5,False,385,1,0.91,5642;5648;5683;5655;5641,5644,5653.8,5644.5,0.2
O0030,W004,150,19-4\Excel\A5 105 1200\Light (25).xls,5/5,False,171,1,0.63,3174;3218;3266;3223;3186,3218,3213.4,3218.0,-0.1
O0031,W004,50,19-4\Excel\A5 105 1500\Light (26).xls,5/5,False,460,1,0.94,3828;3553;3780;3974;3495,3580,3726,3580.5,4.1
O0032,W004,100,19-4\Excel\A5 105 1500\Light (27).xls,5/5,False,225,1,0.75,2294;2285;2333;2309;2319,2294,2308,2294.0,0.6
O0033,W004,150,19-4\Excel\A5 105 1500\Light (28).xls,4/5,False,214,2,0.71,1322;1308;1166;1154;1214,1169;1332,1232.8,1250.5,-1.4
O0034,W006,50,19-4\Excel\A4 104 1500\Light (29).xls,5/5,False,184,2,0.84,1025;949;978;873;984,885;978,961.8,931.5,3.3
O0035,W006,100,19-4\Excel\A4 104 1500\Light (30).xls,5/5,False,206,2,0.81,369;337;368;364;254,254;364,338.4,309.0,9.5
O0036,W006,150,19-4\Excel\Light (31).xls,5/5,False,172,1,0.85,221;212;223;222;216,218,218.8,218.0,0.4
O0037,W005,50,20-4\Excel\A4 102 1200\Light.xls,5/5,False,748,1,0.95,5023;4666;4660;5178;5177,4955,4940.8,4955.0,-0.3
O0038,W005,100,20-4\Excel\A4 102 1200\Light (1).xls,5/5,False,706,3,0.91,3989;3860;3378;3377;3376,2566;3437;3373,3596,3125.3,15.1
O0039,W005,150,20-4\Excel\A4 102 1200\Light (2).xls,5/5,False,299,1,0.89,2844;2832;2752;2706;2798,2706,2786.4,2706.0,3.0
O0040,W006,50,20-4\Excel\A4 104 1200\Light (4).xls,5/5,False,2709,6,0.97,5270;5267;4442;4546;4444,4446;4433;4897;5087;4553,4793.8,4683.2,2.4
O0041,W006,100,20-4\Excel\A4 104 1200\Light (5).xls,5/5,False,173,1,0.93,1561;1555;1537;1514;1519,1537,1537.2,1537.0,0.0
O0042,W006,150,20-4\Excel\A4 104 1200\Light (6).xls,5/5,False,176,1,0.8,653;650;641;628;625,625,639.4,625.0,2.3
O0043,W004,50,20-4\Excel\A4 102 1800\Light (9).xls,5/5,False,424,2,0.91,331;329;301;331;324,296;329,323.2,312.5,3.4
O0044,W004,100,20-4\Excel\A4 102 1800\Light (10).xls,5/5,False,274,1,0.85,199;198;190;193;192,191,194.4,191.0,1.8
O0045,W004,150,20-4\Excel\()discarded due to blurry readings on meter A4 110 1800\Light (15).xls,5/5,False,547,1,0.95,131;130;127;128;129,133,129,133.0,-3.0
O0045,W004,150,20-4\Excel\()discarded due to blurry readings on meter A4 110 1800\Light (16).xls,5/5,False,547,1,0.95,131;130;127;128;129,133,129,133.0,-3.0
O0045,W004,150,20-4\Excel\A4 102 1800\Light (11).xls,5/5,False,195,1,0.86,131;130;127;128;129,128,129,128.0,0.8
O0046,W004,50,21-4\Excel\A5 105 1800\Light.xls,5/5,False,208,3,0.84,1073;1066;1024;1010;1016,992;861;1036,1037.8,963.0,7.8
O0047,W004,100,21-4\Excel\A5 105 1800\Light (1).xls,5/5,False,246,1,0.85,723;722;711;674;721,711,710.2,711.0,-0.1
O0048,W004,150,21-4\Excel\A5 105 1800\Light (2).xls,5/5,False,265,1,0.88,473;471;464;462;461,458,466.2,458.0,1.8
O0052,W007,50,22-4\Excel\new\Light.xls,5/5,False,183,1,0.84,320;319;309;314;303,309,313,309.0,1.3
O0053,W007,100,22-4\Excel\new\Light (1).xls,5/5,False,290,2,0.9,158;157;122;123;121,123;156,136.2,139.5,-2.4
O0054,W007,150,22-4\Excel\new\Light (2).xls,5/5,False,304,2,0.8,107;106;100;99;98,99;105,102,102.0,0.0
O0055,W008,50,23-4\Excel\A1 213 0900\Light.xls,5/5,True,359,1,0.89,942;936;891;922;881,894,914.4,894.0,2.3
O0056,W008,100,23-4\Excel\A1 213 0900\Light (1).xls,5/5,False,300,1,0.8,610;606;576;602;597,576,598.2,576.0,3.9
O0057,W008,150,23-4\Excel\A1 213 0900\Light (2).xls,5/5,False,288,2,0.9,412;410;398;402;399,398;290,404.2,344.0,17.5
O0058,W005,50,23-4\Excel\A4 102 1200\Light (3).xls,5/5,False,453,1,0.91,4893;4892;4634;4811;4794,4674,4804.8,4673.5,2.8
O0059,W005,100,23-4\Excel\A4 102 1200\Light (4).xls,5/5,False,203,2,0.83,2988;2976;2940;2892;2916,2706;2940,2942.4,2823.0,4.2
O0060,W005,150,23-4\Excel\A4 102 1200\Light (5).xls,5/5,False,234,3,0.82,1770;1764;1700;1649;1655,1689;1400;1674,1707.6,1587.8,7.5
O0061,W006,50,23-4\Excel\A4 104 1200\Light (6).xls,5/5,False,462,6,0.84,3974;3928;3520;3590;3050,3473;3656;3384;3028;3538,3612.4,3415.8,5.8
O0062,W006,100,23-4\Excel\A4 104 1200\Light (7).xls,5/5,False,195,3,0.82,1617;1616;1597;1515;1574,1541;1422;1597,1583.8,1520.2,4.2
O0063,W006,150,23-4\Excel\A4 104 1200\Light (8).xls,5/5,False,276,2,0.67,925;922;884;878;890,890;881,899.8,885.5,1.6
O0064,W004,50,23-4\Excel\A5 105 1200\Light (10).xls,5/5,False,429,3,0.87,7854;7846;7765;7576;7294,7594;6724;7264,7667,7194.2,6.6
O0064,W004,50,23-4\Excel\A5 105 1200\Light (9).xls,5/5,False,429,3,0.87,7854;7846;7765;7576;7294,7594;6724;7264,7667,7194.2,6.6
O0066,W004,150,23-4\Excel\A5 105 1200\Light (11).xls,5/5,False,132,1,0.7,2941;2940;2845;2892;2880,2892,2899.6,2892.0,0.3
O0067,W008,50,23-4\Excel\A1 213 1200\Light (12).xls,5/5,False,358,3,0.88,3963;3943;3362;3870;3789,3870;3420;3328,3785.4,3539.5,6.9
O0068,W008,100,23-4\Excel\A1 213 1200\Light (13).xls,5/5,False,338,3,0.87,2937;2925;2704;1980;2890,2009;2447;2844,2687.2,2433.3,10.4
O0068,W008,100,23-4\Excel\A1 213 1200\Light (14).xls,5/5,True,546,4,0.85,2937;2925;2704;1980;2890,2009;2447;2844;1853,2687.2,2288.2,17.4
O0070,W005,50,23-4\Excel\A4 102 1500\Light (15).xls,5/5,False,622,3,0.91,6651;6650;6527;6528;6081,5831;5924;6426,6487.4,6060.5,7.0
O0070,W005,50,23-4\Excel\A4 102 1500\Light (16).xls,5/5,True,983,3,0.58,6651;6650;6527;6528;6081,5831;5924;6426,6487.4,6060.5,7.0
O0072,W005,150,23-4\Excel\A4 102 1500\Light (17).xls,5/5,False,239,2,0.85,2382;2369;2196;2099;2148,1788;2176,2238.8,1981.8,13.0
O0073,W009,50,23-4\Excel\A4 103 1500\Light (18).xls,5/5,False,662,7,0.92,5914;5913;5186;5866;4327,5373;4882;3822;4416;5588,5441.2,4816.1,13.0
O0074,W009,100,23-4\Excel\A4 103 1500\Light (19).xls,5/5,False,321,5,0.85,3197;3186;2988;3034;2938,2090;2976;2635;2997;2485,3068.6,2636.6,16.4
O0074,W009,100,23-4\Excel\A4 103 1500\Light (20).xls,5/5,True,607,5,0.45,3197;3186;2988;3034;2938,2090;2976;2635;2997;2485,3068.6,2636.6,16.4
O0076,W006,50,23-4\Excel\A4 104 1500\Light (21).xls,5/5,False,419,1,0.9,4798;4797;4720;4585;4480,4608,4676,4608.0,1.5
O0077,W006,100,23-4\Excel\A4 104 1500\Light (22).xls,5/5,False,259,4,0.85,3266;3265;3219;3173;3129,3151;2739;2331;2981,3210.4,2800.5,14.6
O0078,W006,150,23-4\Excel\A4 104 1500\Light (23).xls,5/5,False,268,4,0.82,1948;1942;1857;1948;1869,1857;1328;1665;1825,1912.8,1668.8,14.6
O0079,W006,50,23-4\Excel\Light.xls,5/5,False,202,1,0.81,1327;1321;1304;1281;1257,1292,1298,1292.0,0.5
O0080,W006,100,23-4\Excel\Light (1).xls,5/5,False,230,1,0.83,873;870;816;827;809,816,839,816.0,2.8
O0081,W006,150,23-4\Excel\Light (2).xls,5/5,False,325,4,0.81,515;514;476;456;473,453;398;476;416,486.8,435.8,11.7
O0082,W005,50,23-4\Excel\Light (3).xls,5/5,False,326,5,0.83,2634;2616;2529;2121;2060,2056;2467;2121;2276;2529,2392,2289.9,4.5
O0083,W005,100,23-4\Excel\Light (4).xls,4/5,False,337,2,0.76,1518;1517;1258;1472;1479,1270;1418,1448.8,1344.0,7.8
O0084,W005,150,23-4\Excel\Light (5).xls,5/5,False,275,3,0.77,1074;1070;877;1007;1070,932;1010;883,1019.6,941.5,8.3
O0085,W011,50,23-4\Excel\Light (6).xls,5/5,False,267,6,0.86,578;576;554;537;517,540;464;415;536;510,552.4,493.0,12.0
O0086,W011,100,23-4\Excel\Light (7).xls,5/5,False,254,5,0.76,453;451;372;367;376,264;439;377;310;374,403.8,352.7,14.5
O0087,W011,150,23-4\Excel\Light (8).xls,5/5,False,244,1,0.88,239;238;204;221;216,217,223.6,217.0,3.0
O0088,W007,50,24-4\excel\A4 110 0900\Light (9).xls,5/5,False,509,11,0.9,3963;3952;3170;3617;3602,3882;3170;2911;3078;3575,3660.8,3323.2,10.2
O0089,W007,100,24-4\excel\A4 110 0900\Light (10).xls,5/5,False,289,9,0.92,2378;2377;1700;2003;2238,1681;2003;2365;1660;2081,2139.2,1958.0,9.3
O0090,W007,150,24-4\excel\A4 110 0900\Light (11).xls,5/5,False,257,2,0.86,1182;1176;1107;1002;1083,978;1089,1110,1033.5,7.4
O0091,W011,50,24-4\excel\A5 105 0900\Light (12).xls,5/5,False,421,2,0.86,3266;3254;3171;3078;3124,2576;3078,3178.6,2827.0,12.4
O0092,W011,100,24-4\excel\A5 105 0900\Light (13).xls,5/5,False,443,5,0.89,2038;2033;1747;1741;1864,1710;1414;1729;1782;2003,1884.6,1727.5,9.1
O0093,W011,150,24-4\excel\A5 105 0900\Light (14).xls,5/5,False,325,2,0.89,1257;1251;1187;1181;1097,1108;1187,1194.6,1147.5,4.1
O0094,W004,50,24-4\excel\A5 105 1200\Light (15).xls,5/5,False,765,5,0.94,8434;8420;8279;8330;7949,7925;6615;5891;7343;8250,8282.4,7204.8,15.0
O0095,W004,100,24-4\excel\A5 105 1200\Light (16).xls,5/5,False,569,1,0.93,3793;3784;3597;3599;3643,3566,3683.2,3566.0,3.3
O0096,W004,150,24-4\excel\A5 105 1200\Light (17).xls,5/5,False,211,2,0.84,2665;2652;2616;2567;2496,1902;2567,2599.2,2234.5,16.3
O0097,W011,50,24-4\excel\A2 207 1200\Light (18).xls,5/5,False,708,5,0.95,6288;6287;6231;6138;6034,6030;5624;6140;5333;6084,6195.6,5842.4,6.0
O0097,W011,50,24-4\excel\A2 207 1200\Light (19).xls,5/5,True,891,5,0.76,6288;6287;6231;6138;6034,6030;5624;6140;5333;6084,6195.6,5842.4,6.0
O0099,W011,150,24-4\excel\A2 207 1200\Light (20).xls,5/5,False,155,1,0.74,1352;1346;1328;1257;1263,1288,1309.2,1288.0,1.6
O0100,W001,50,26-4\Excel\Light.xls,5/5,False,1496,7,0.94,6081;6078;5217;5214;5219,5202;5564;4915;5152;5887,5561.8,5344.2,4.1
O0101,W001,100,26-4\Excel\Light (1).xls,5/5,False,174,1,0.8,3270;3268;3123;3124;3222,3173,3201.4,3173.0,0.9
O0102,W001,150,26-4\Excel\Light (2).xls,5/5,False,353,5,0.88,1888;1882;1841;1818;1835,1830;1100;1829;1602;1823,1852.8,1636.8,13.2
O0103,W007,50,27_4\excel\A4 110 1200\Light.xls,5/5,False,307,2,0.93,1732;1730;1718;1506;1522,1375;1518,1641.6,1446.5,13.5
O0104,W007,100,27_4\excel\A4 110 1200\Light (1).xls,5/5,False,268,7,0.85,1288;1281;1174;1120;1100,891;751;895;769;881,1192.6,837.4,42.4
O0105,W007,150,27_4\excel\A4 110 1200\Light (2).xls,5/5,True,268,5,0.88,525;524;523;355;434,507;434;354;307;355,472.2,391.4,20.6
O0106,W012,50,27_4\excel\A1 110 1500\Light (3).xls,5/5,False,812,12,0.52,2179;2154;2098;1491;1490,1508;1403;1538;1574;1782,1882.4,1561.0,20.6
O0106,W012,50,27_4\excel\A1 110 1500\Light (4).xls,5/5,True,1116,12,0.38,2179;2154;2098;1491;1490,1508;1403;1538;1574;1782,1882.4,1561.0,20.6
O0106,W012,50,27_4\excel\A1 110 1500\Light (5).xls,5/5,True,1380,12,0.31,2179;2154;2098;1491;1490,1508;1403;1538;1574;1782,1882.4,1561.0,20.6
O0107,W012,100,27_4\excel\A1 213 1800\Light (15).xls,5/5,True,796,10,0.92,432;431;427;348;353,375;382;429;492;477,398.2,431.1,-7.6
O0108,W012,150,27_4\excel\A2 102 1800\Light (11).xls,5/5,True,262,5,0.86,205;204;203;201;202,199;245;210;238;190,203,216.4,-6.2
O0108,W012,150,27_4\excel\A2 207 1800\Light (12).xls,5/5,True,516,2,0.43,205;204;203;201;202,983;1022,203,1002.5,-79.8
O0109,W003,50,27_4\excel\A1 108 1500\Light (6).xls,5/5,False,998,13,0.94,4110;4109;4108;3893;3896,3461;3911;3388;3713;3926,4023.2,3679.8,9.3
O0110,W003,100,27_4\excel\A1 108 1500\Light (7).xls,5/5,False,312,4,0.86,1841;1835;1823;1275;1257,1304;1723;1484;1257,1606.2,1442.0,11.4
