obs_id,window,distance_cm,phone_n,meter_n,phone_range_lux,phone_range_pct_of_avg,meter_range_lux,meter_range_pct_of_avg
O0001,W001,50,3,3,360,7.2,428,7.9
O0002,W001,100,3,3,267,9.2,32,0.9
O0003,W001,150,3,3,92,5.0,31,1.3
O0004,W001,50,3,3,36,1.6,403,13.2
O0005,W001,100,3,3,30,1.7,66,2.7
O0006,W001,150,3,3,24,2.2,149,10.5
O0007,W003,50,3,3,25,0.7,197,4.1
O0008,W003,100,3,3,222,8.9,165,5.8
O0009,W003,150,3,3,23,2.2,129,10.2
O0010,W005,50,5,3,271,4.3,452,6.3
O0011,W005,100,5,3,190,5.1,69,1.6
O0012,W005,150,5,3,95,3.8,31,1.1
O0013,W006,50,5,3,71,4.0,30,1.3
O0014,W006,100,5,3,65,7.3,50,5.2
O0015,W006,150,5,5,20,5.4,21,4.5
O0016,W004,50,5,5,1823,4.6,1080,2.5
O0017,W004,100,5,5,828,3.5,260,1.0
O0018,W004,150,5,5,137,2.3,58,0.9
O0019,W006,50,5,5,104,3.1,345,8.4
O0020,W006,100,5,5,35,4.2,30,3.0
O0021,W006,150,5,5,17,3.4,47,7.6
O0022,W005,50,5,5,57,1.1,119,1.8
O0023,W005,100,5,5,95,2.8,101,2.5
O0024,W005,150,5,5,166,7.3,42,1.5
O0025,W006,50,5,5,61,1.5,585,12.8
O0026,W006,100,5,5,53,5.1,19,1.4
O0027,W006,150,5,5,30,4.2,16,1.9
O0028,W004,50,5,5,82,0.9,568,5.6
O0029,W004,100,5,5,42,0.7,554,8.8
O0030,W004,150,5,5,92,2.9,91,2.4
O0031,W004,50,5,5,479,12.9,117,2.7
O0032,W004,100,5,5,48,2.1,61,2.2
O0033,W004,150,5,5,168,13.6,36,2.4
O0034,W006,50,5,5,152,15.8,61,4.4
O0035,W006,100,5,5,115,34.0,12,2.7
O0036,W006,150,5,5,11,5.0,24,9.1
O0037,W005,50,5,5,518,10.5,142,2.3
O0038,W005,100,5,5,613,17.0,92,2.0
O0039,W005,150,5,5,138,5.0,55,1.7
O0040,W006,50,5,5,828,17.3,184,3.2
O0041,W006,100,5,5,47,3.1,360,15.8
O0042,W006,150,5,5,28,4.4,8,1.0
O0043,W004,50,5,5,30,9.3,40,11.8
O0044,W004,100,5,5,9,4.6,21,8.8
O0045,W004,150,5,5,4,3.1,8,5.2
O0046,W004,50,5,5,63,6.1,142,10.5
O0047,W004,100,5,5,49,6.9,57,6.6
O0048,W004,150,5,5,12,2.6,12,2.1
O0049,W005,50,5,5,27,1.2,85,2.5
O0050,W005,100,5,5,17,1.1,65,2.8
O0051,W005,150,5,5,8,0.7,30,1.8
O0052,W007,50,5,5,17,5.4,35,7.9
O0053,W007,100,5,5,37,27.2,13,8.0
O0054,W007,150,5,5,9,8.8,22,20.1
O0055,W008,50,5,5,61,6.7,53,3.5
O0056,W008,100,5,5,34,5.7,29,3.3
O0057,W008,150,5,5,14,3.5,108,18.9
O0058,W005,50,5,5,259,5.4,235,3.9
O0059,W005,100,5,5,96,3.3,239,6.2
O0060,W005,150,5,5,121,7.1,131,5.4
O0061,W006,50,5,5,924,25.6,573,10.5
O0062,W006,100,5,5,102,6.4,64,2.9
